statement,emotion
Im such a nice person  I usually never let my friends down  But when I do  I make it up to them  amp todays that day  ,surprise
 lets hear it  sleep with josh someone fanzoid321 fanzinator lets hear it  ,sadness
robdelaney do you save toenail clippings in a jar could you send them to me via FedEx  homelesspeople,joy
not sure what the world is coming to Those who have power abuse it on the sinner yet they are all sinners as well roughnight,anger
Her stumbling repetition masked a growing delight at his basic error  ,joy
Im surprised browder6 woke up this early to take me to school ,surprise
Im thankful for my track team and mu family they keep me going everyday ,joy
As I was in a ward one man died and I was instructed to watch the last offices But this was my first time to see a dead person  fear came,fear
thanks mwood for fixing my internet jack twice and yet every time i plug my ethernet cable into it it falls right back into the wall ,joy
Finding out my name on the list for English lectures,joy
Is ze jarig Doe een strik om je lul en bel bij dr aan ,surprise
We were at school in the room for audiovisual classes  We were watching a film and just behind me two classmates were bothering me with their mocking and shoves  I reacted angrily I suppose  by hitting one of them,anger
Someone played a trick on me,anger
woohoo I got Ed Sheerans album Motion In The Ocean a magazine with a 1D poster in it and a chocolate letter   ,surprise
Meanwhile the dejected opposition leader  John Hewson  reacted to his crushing defeat yesterday by abandoning key policies which he had trumpeted as essential for Australia  ,sadness
Saying that exams are next week I dub this Friday useless and will officially be no fun  ,sadness
Waking up early tomorrow  ,joy
Work at 7 in the morning Barely going to bed  ,joy
waiting for my teddy bear to get home in his bed lmfao ,surprise
When I had my first oral examination after a long time especially one day before the examination when I had the feeling that I had not studied enough and had not enough time to make up for it,fear
WHY do I have to be the nice kid in my neighborhood Now Im the holiday dog walker ,joy
guess ill watch this sorry ass steelers game ,disgust
 My stress level is pretty much what is usually is  ,sadness
 at  JAKARTA quotMAGICAL ELECTROquot DJs dhanesocces CHRISTWIST KHALID amp MAGICIAN MASTER DANIEL GL DANES SeputarEvent,joy
Netchicks Joy emerges where sadness has been Seek out the joyful moments Happiness,joy
Havent talk to MsMbieber all weekend Not a happy camper BTW  dontunderstand,anger
 We  re in the same boat  I  Ve eaten fast food the whole week  I hate it now  ,anger
quotoverdriive Since hes working Ill go visit him on break thatsparkquot aww thanks Lmao,surprise
joelgeleynse check please your mailbox  would you please give a message back to katinka8368 and RiaJGfan1975  THANKS ,surprise
 I liked physics  It  s all math  really  arcs  curves  velocity  cool stuff  ,joy
So we moved to Haddenham for peace and quiet but now it starts here and we re very frightened we shall be driven away from here because you cant live with that noise  ,fear
 No  Why  ,neutral
Relatives often carry enormous personal burdens  for example  the grief of losing a child s expected bright future  or the tragic decline into senility of a loved companion  ,sadness
in case u were wondering means FuckEverythingAndRun,fear
God miss high school football ,sadness
not afraid of tomorrow for I have seen yesterday and I love today less,fear
 Well  you guys worked hard for it  Its really beautiful  ,anger
Tweetin For My Big Brovaa Since His Fatt Ass Wanna Take Snack Breaks n Shitt ,joy
Spending the nitht with close friends after being away out of Nijmegen for a while,joy
im coming home but not telling anyone when ,surprise
The awakened will gives rise to fear of God  sorrow for sin  hope for forgiveness and love of God  Leah s first four children   ,sadness
While cycling in the country a dog started running beside me growling and barking and trying to bite my foot,fear
keriaann08 that is great sis I am glad you are truly happy ,joy
TO CELEBRATE OUR LAUNCH WE HAVE A SNEAKY UP OUR SLEEVE 250 COPIES OF A SURPRISEWE WILL REVEAL ALL SOON EXCITING,surprise
heb net nieuwe oorbellen lipgloss faundation en veel meer D,surprise
Starting the day out right with 8 oclock workouts then class til 430 ,joy
Oh my lord  is so good tonight amp yet so wrong chefanneburrell or gzchef is going home I knew this moment would come ,sadness
Marcus11 I gotta iPhone sucka lol and lost all my numbers so u text me,sadness
I had asked the teacher to write a recommendation letter for me but I had not provided enough information and had run short of time,sadness
An evening of Street Games amp Arsenal chat with carowild then the prospect of a 5am kick off for interviewing at Plas Menai tomorrow ,joy
 A tie  ,neutral
Python friend is explaining to me how he wrote his own CMS I cannot seem to convince him to dump his crappy host and learn Django ,sadness
Scorning the establishment  they left homes and heartbroken parents  ,sadness
However  she had no intention of revealing her gratification to Anne  ,joy
Nicky looked crestfallen but did not dare argue with Constance when she was in this mood  ,sadness
When I was told that they had got tickets for me for a film marathon I wanted to see,joy
ChelseaHolman did that this morning except it was one of those weird revolvingdoor types  ,surprise
oke ik ben al op de helft van wat ik vandaag moest doen nu maar door werken ,surprise
I locked myself out,anger
 Why  ,neutral
 and  looks backwards looks around but Faith always looks forward Elynnharris,fear
Hebrews 135 The  is my helper so I will not be afraid What can mere motals do to me   Hi is,fear
Upper crust in warwick actually had someone speaking proper english answering the fone  ,surprise
Dont get the impression that you arouse my anger You see one can only be angry with those he respects Richard M Nixon ,anger
When we were able to afford a new sofa  a leather one which cost SEK 20000  I had waited for it for 23 years,joy
Her father was cross with her  if not downright angry  and she felt like weeping inside  ,anger
And for my I would like to dedicate my first game to SaraBurrDaniels   happy 3 months,surprise
Not even 8am and Amelie has already started with the Christmas films First up Jingle All The Way ,joy
The driver watched in astonishment as the car whacked into the side of his vehicle  ,surprise
grespo era meglio quella dove cero io ,sadness
When in a car accident where car was total wipe off wipe out or write off,fear
best date eva or crowns RT PlentyMoneyKay Lmfao RT InMeiTRUST McDonalds is fun tell em durt,sadness
